ID,Title,Company,Location,Condition,Job Date,Badge,Apply URL
48844707,"[한국어 학습 앱] 펀픽, 플러터(Flutter) 개발자 모집 공고",아이디자인랩,서울 마포구,경력5년↑ 학력무관 정규직,~ 10/19(토),연봉상승률 20% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48844707
48669060,(병역특례가능) 임베디드 AI 개발자 (C++),(주)옵트에이아이,서울 강서구,경력무관 대졸↑ 정규직·전문연구요원,상시채용,,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48669060
48946793,[프론트엔드] 금융 SI 개발자 경력직 채용(정규직),(주)잇츠소프트,서울 강서구,경력 3~20년 초대졸↑ 정규직,~ 10/03(목),급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48946793
48904359,머신 비전 솔루션 개발 경력자 모집(추가모집),(주)비전메카,경기 수원시 영통구,경력 1~7년 고졸↑ 정규직,~ 09/27(금),연봉상승률 15% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48904359
48839262,[비스텔리젼스] Project Manager 채용공고,(주)비스텔리젼스,서울 서초구,경력7년↑ 학력무관 정규직,채용시,평균연봉 상위 10%,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48839262
48946847,AI 딥러닝 개발자 모집,티엔에스에이아이 주식회사,인천 남동구,경력 3~20년 석사↑ 정규직,~ 11/02(토),급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48946847
48905486,[직접입력] 차량용 기능안전 SW 엔지니어 모집,(주)보스반도체,경기 성남시 분당구,경력5년↑ 대졸↑ 정규직,~ 09/27(금),급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48905486
48848836,AI 연구원 및 개발자 모집,(주)델타엑스,서울 구로구,경력 석사↑ 정규직,상시채용,급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48848836
48992093,AI팀 리더급 채용,(주)비글즈,경기전체,경력 5~20년 학력무관 정규직,~ 10/09(수),취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48992093
48669430,(병역특례가능) LLM Research Engineer,(주)옵트에이아이,서울 강서구,경력무관 석사↑ 정규직·전문연구요원,상시채용,,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48669430
49011823,[일레븐전자] 머신 비전 / 비전 프로그램 개발,(주)일레븐전자,경기 수원시 영통구,신입·경력 초대졸↑ 정규직·계약직,~ 10/13(일),프리한 복장,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49011823
48721186,(경력) 데이터 사이언티스트를 모십니다,(주)인사이터,서울 마포구,"경력 2~10년 대졸↑ 정규직 4,000 만원",~ 09/29(일),급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48721186
48940569,(주)데이터마케팅코리아 2024 데이터 엔지니어링 직무 채용공고,(주)데이터마케팅코리아,서울 강남구,경력 3~20년 초대졸↑ 정규직,상시채용,재택근무,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48940569
48846938,응용개발자 및 취약점 분석가 O명 모집,(주)누리랩,서울 영등포구,경력3년↑ 학력무관 정규직,~ 09/19(목),급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48846938
48900507,"[풀스택] 테마, 서비스 부분 수정 개발(리드급)",런치팩(주),서울 강남구,경력 5~10년 학력무관 정규직,~ 09/26(목),취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48900507
48698532,[경력] 모바일 솔루션 개발 및 운영,(주)디더블유아이,서울 중구,경력 2~10년 초대졸↑ 정규직·계약직,채용시,워라밸,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48698532
48778189,인공위성기업 [루미르] 시스템 엔지니어 채용,루미르(주),경기 용인시 수지구,경력 3~20년 대졸↑ 정규직,상시채용,연봉상승률 10% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48778189
48940754,발전플랜트 분석 솔루션 개발 연구인력 모집,(주)제이에스티앤랩,서울 강남구,경력3년↑ 초대졸↑ 정규직,~ 10/03(목),연봉상승률 15% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48940754
48669226,(병역특례가능) Model Compression Research Engineer,(주)옵트에이아이,서울 강서구,경력무관 석사↑ 정규직·전문연구요원,상시채용,,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48669226
48949643,정규직 채용-개발자(AA/PM/PL/개발자),(주)케파스,서울 강남구,경력 3~18년 초대졸↑ 정규직·기간제,~ 11/03(일),연봉상승률 30% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48949643
48880790,AI SW 개발 엔지니어,(주)보스반도체,경기전체,경력 3~15년 대졸↑ 정규직,~ 09/22(일),취업축하금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48880790
48901355,솔루션(웹/통신) 프로그램 개발자 경력사원 모집,(주)잇팩,경기 성남시 수정구,경력 3~12년 초대졸↑ 정규직,~ 10/27(일),연봉상승률 10% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48901355
48654882,실외 자율주행(자재이송) 로봇 SW (ROS2) 개발 팀원 모집,(주)모빌에이트,충남 천안시 서북구,경력무관 대졸↑ 정규직,채용시,급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48654882
48778087,인공위성기업 [루미르] RF 설계 채용,루미르(주),경기 용인시 수지구,경력무관 대졸↑ 정규직,상시채용,연봉상승률 10% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48778087
49012708,[젯스퍼트]풀스택 웹개발자(React) 채용,젯스퍼트(주),경기 성남시 분당구,경력9년↑ 학력무관 정규직,채용시,급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49012708
48905465,Storage Embedded SW 엔지니어 모집,(주)보스반도체,경기 성남시 분당구,경력5년↑ 대졸↑ 정규직,~ 09/27(금),급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48905465
48856267,자바/스프링/빅데이터/인공지능 개발 훈련교사 채용,(재)부산인재개발원,부산 수영구,경력1년↑ 초대졸↑ 정규직·기간제,~ 10/20(일),워라밸,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48856267
49005417,[SECO 미래아이앤텍] 개발팀 MES 개발 경력자 모집,(주)미래아이앤텍,서울 서초구,경력6년↑ 대졸↑ 정규직,~ 11/11(월),평균연봉 상위 10%,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49005417
49011694,연구개발분야 (공력·성능해석/구조·진동해석/전장설계) 모집,베셀에어로스페이스(주),경기 수원시 권선구,신입·경력 대졸↑ 정규직,~ 11/12(화),장기근속 포상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49011694
48901820,온라인 마켓 쇼핑몰 온라인팀(MD) 정규직 모집중,(주)오제플러스,서울 영등포구,"경력무관 학력무관 정규직 2,900 만원",~ 10/27(일),,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48901820
48714144,[신입/경력]자동화팀 모션 엔지니어 채용,(주)이알시스템,경기 평택시,"신입·경력 초대졸↑ 정규직 3,400 만원",~ 09/28(토),급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48714144
48953382,경영관리 인턴 채용,메가존클라우드(주),서울 강남구,신입 학력무관 인턴직,상시채용,"2,000억 이상 투자유치",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48953382
48919610,[신입] DB 엔지니어 모집,(주)콘텐츠브릿지,서울 양천구,신입 초대졸↑ 정규직,~ 09/29(일),성과급/상여금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48919610
48990702,포항공과대학교 부설연구기관 연구원 채용,포항공과대학교산학협력단,경북 포항시 남구,경력무관 대졸↑ 계약직,채용시,,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48990702
48987036,상업용 부동산 컨설팅 경력직 채용,(주)알스퀘어,서울 강남구,경력5년↑ 학력무관 정규직,~ 10/10(목),500억 이상 투자유치,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48987036
48977456,[경력] 시스템 엔지니어 (SE) 모집,(주)콘텐츠브릿지,서울 강남구,경력6년↑ 초대졸↑ 정규직,~ 09/30(월),성과급/상여금,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48977456
48750368,[기후테크기업] 건물에너지절감 AI 모델 개발 직무,(주)이에이엔테크놀로지,서울 강남구,경력무관 대졸↑ 정규직,~ 10/04(금),기획·전략 조회 급상승,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48750368
48852231,"(주)에듀앤텍 에서 대학강의, 기업강의 강사님을 모십니다.",(주)에듀앤텍,경기 성남시 분당구,경력3년↑ 석사↑ 파트·프리랜서,~ 09/20(금),평균연봉 상위 10%,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48852231
48966085,당사와 함께 프로젝트 엔지니어 및 연구개발 참여 인재 모집,아라엔지니어링(주),서울 강남구,신입·경력 대졸↑ 정규직,~ 09/30(월),연봉상승률 10% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48966085
48886577,[유연근무제][에듀테크] 수학교육 전문가를 찾습니다.,마타에듀(주),서울 강남구,경력무관 대졸↑ 계약직,~ 09/25(수),연봉상승률 15% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48886577
48920761,R&D 연구직 신입/경력/병역특례 채용,(주)코맥스,경기 성남시 중원구,신입·경력 초대졸↑ 정규직,채용시,평균연봉 상위 10%,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48920761
